avis de traite;(Kettridge 1973);advice of draft;;;AM
'avis d''expédition (d''embarquement)';(Kettridge 1973);advice of shipment (dispatch);;;AM
photographie aérienne;TDTR;Aerial photographs;JAL, AM, MT, TD;;
propagande aérienne;TDTR;Aerial propaganda;JAL, AM, MT, TD;;
attestation (1);TDTR;Affidavits;JAL, AM, MT, TD;;
certificat de revendeur agréé;TDTR;Agency certificates;JAL, AM, MT, TD;;
ordre du jour;TDTR;Agendas;JAL, AM, MT, TD;;
accord;TDTR;Agreements;JAL, AM, MT, TD;;
aide-mémoire;;aide-mémoire;JAL, AM, MT;;
aérogramme;TDTR ;Air lettersheets;JAL, AM, MT, TD;;
lettre-avion;(Kettridge 1973);air mail letter;;;AM
étiquette de bagage avion;TDTR;Air transport labels;JAL, AM, MT, TD;;
manifeste (avion);TDTR;Aircraft manifests;JAL, AM, MT, TD;;
enveloppe à fenêtre pour “airgraph” (hist.);TDTR;Airgraph envelopes;JAL, AM, MT, TD;;
billet d’avion;TDTR;Airline tickets;JAL, AM, MT, TD;;
horaire d’avion;TDTR;Airline timetables;JAL, AM, MT, TD;;
enveloppe avion;TDTR;Airmail envelopes;JAL, AM, MT, TD;;
vignette “par avion”;TDTR;Airmail labels;JAL, AM, MT, TD;;
poste aérienne;TDTR;Airmail stamps;JAL, AM, MT, TD;;
papeterie avion;TDTR;Airmail stationery;JAL, AM, MT, TD;;
certificat de navigabilité (avion);TDTR;Airworthiness certificates;JAL, AM, MT, TD;;
album (1);TDTR (Petit, 1997:14, E&R);Album;JAL, AM, MT, TD;;
image à collectionner;TDTR (Afnor);Album cards;JAL, AM, MT, TD;;
page d’album;TDTR;Album pages;;;
album à feuillets fixes à passe-partout;(J, with scope note);album with leaves and passe-partout surrounds ;;;MT
album à feuillets à encoches;(J, with scope note);album with slitted leaves;;(not in ET);MT
album de jeunesse (pour la jeunesse);;album, picture book;;;AM
licence de débit de boissons;TDTR;Alcohol sales licences;JAL, AM, MT, TD;;
algorithme;TDTR;Algorithms;JAL, AM, MT, TD;;
'avis d''attribution';(Kettridge 1973);allotment letter, letter of acceptance;;;AM
almanach (1);TDTR (JGC p.28) JAL (Afnor);Almanacs;JAL, AM, MT, TD;renvois: éphéméride, agenda;
lettres;TDTR;Alphabet letters;JAL, AM, MT, TD;;
modèle d’alphabet;TDTR;Alphabet sheets;JAL, AM, MT, TD;'renvoi: modèle d''écriture';
alphabet;TDTR (Afnor);Alphabets;JAL, AM, MT, TD;;
canon d’autel;TDTR;Altar cards;JAL, AM, MT, TD;;
monnaie de nécessité (1);TDTR ;Alternative currency;JAL, AM, MT, TD;;
livre de dépouillement;(Kettridge 1973);analysis book;;;AM
image anamorphosique;;anamorphic image;;;AM
planche anatomique;TDTR;Anatomical diagrams;JAL, AM, MT, TD;;
avis de disparition;TDTR;Animal lost / found notices;;query;
annonces;TDTR;Announcements;JAL, AM, MT, TD;;
rapport annuel;TDTR;Annual reports;JAL, AM, MT, TD;;
annuaire (1);TDTR;Annuals;JAL, AM, MT, TD;;
lettre anonyme;TDTR;Anonymous letters;JAL, AM, MT, TD;;
florilège ;(Reitz 2004, Tra&doc);anthology, florilegium, garland;;;AM
appel à dons;TDTR;Appeals;JAL, AM, MT, TD;;
bulletin de souscription;JGC p.497;application form, letter of application;;;AM
formulaire d’inscription (1);TDTR;Application forms;JAL, AM, MT, TD;;
carte de rendez-vous;TDTR;Appointment cards;JAL, AM, MT, TD;;AM
lettre AQ (hist.);TDTR;AQ lettersheets;JAL, AM, MT, TD;;
ex-libris héraldique;TDTR;Armorial bookplates;JAL, AM, MT, TD;;
mandat d’arrêt;TDTR;Arrest warrants;JAL, AM, MT, TD;;
papier porcelaine;(S&A);art paper;;;MT
fleur artificielle;(PL 1908);artificial flower;;(not in ET);MT
carton d’invitation (artiste);TDTR;'Artists'' invitations';JAL, AM, MT, TD;;
dessin original, création (1);TDTR;Artwork, original;JAL, AM, MT, TD;;
instructions d’assemblage;TDTR;Assembly instructions;JAL, AM, MT, TD;;
assignat;TDTR (CC 65, 50) JGC p.6 (Afnor);Assignats;JAL, AM, MT, TD;;
billet d’entrée en hospice;TDTR;Asylum cards;JAL, AM, MT, TD;;
carton d’invitation;TDTR;At home cards;;query;
attestation de présence;TDTR;Attendance certificates;JAL, AM, MT, TD;;
feuille de présence;TDTR;Attendance records;JAL, AM, MT, TD;;
catalogue de vente aux enchères;TDTR;Auction sale catalogues;JAL, AM, MT, TD;;
affiche de vente aux enchères;TDTR;Auction sale notices;JAL, AM, MT, TD;;
;;auction sale particulars;;;MT
plan de salle;TDTR;Auditorium seating plans;JAL, AM, MT, TD;;
certificat d’authenticité;TDTR;Authenticity certificates;JAL, AM, MT, TD;;
album d’autographes;TDTR;Autograph albums;JAL, AM, MT, TD;;
autographe;TDTR;Autographs;JAL, AM, MT, TD;;
diplôme;TDTR;Award certificates;JAL, AM, MT, TD;;
album photos petite enfance;TDTR;Baby albums;JAL, AM, MT, TD;;
maculature;(Petit Twyman 2013;backing sheet;;;AM
pin’s / epinglette;(CC 67, 40) MT (CC 67, 40);badge;;;
badge;TDTR (Afnor);Badges;JAL, AM, MT, TD;renvois: insigne, bouton de décoration;
cornet (1);;bag (1);JAL, AM, MT, TD;regional;
poche (1);;bag (2);JAL, AM, MT, TD;regional;
pochon;;bag (3);JAL, AM, MT, TD;regional;
sachet (1);;bag (small);JAL, AM, MT, TD;;AM
bulletin de consigne ;;baggage tag;;;AM
sac (1);TDTR;Bags;JAL, AM, MT, TD;;
sac réutilisable;TDTR;Bags-for-life;JAL, AM, MT, TD;;
étui de bagette;TD;baguette bags;;;MT
bilan;(Kettridge 1973);balance sheet;;;AM
'copie d''inventaire';(Kettridge 1973);balance sheet book;;;AM
marque d’étoffe;TDTR;Bale labels;JAL, AM, MT, TD;;
;TDTR;Ballad appeals;JAL, AM, MT, TD;pas d’équivalent en français;
balade;TDTR (RT2000);Ballads;JAL, AM, MT, TD;;
matériel électoral (1);TDTR (Petit, 1997: 25, RT2000);Ballot papers;JAL, AM, MT, TD;renvoi: bulletin de vote;
carton à chapeaux;;bandbox;;;AM
banderole;TDTR;Banderoles;JAL, AM, MT, TD;;
bande;TDTR;Bands;JAL, AM, MT, TD;;
mandat de paiement;TDTR;Bank mandates;JAL, AM, MT, TD;;
relevé bancaire;TDTR;Bank statements;JAL, AM, MT, TD;;
traite (billet commercial);TDTR;'Bankers'' drafts';JAL, AM, MT, TD;;
billet de banque promotionnel;(RT2000);banknote, promotional;;;AM
billet de banque;(CC 65, 50) (Afnor) JGC p.375;banknotes ;;;MT
concordat;;'bankrupt''s certificate';;;AM
calicot;TDTR;Banner (1);JAL, AM, MT, TD;;
echarpe de supporters;(CC 39, supp 6);banner (2);;(not specific in ET);MT
bannière;TDTR;Banners;JAL, AM, MT, TD;renvoi: calicot;
menu de banquet;TDTR;Banquet menus;JAL, AM, MT, TD;;
extrait baptistaire;TDTR;Baptismal certificates;JAL, AM, MT, TD;renvoi: extrait de naissance;AM
code barres;TDTR (CC 62, 35);Barcodes;JAL, AM, MT, TD;;
'carnet d''agent de change, carnet à marchés';(Kettridge 1973);bargain book, book, stockbroker’s bargain book;;;AM
carte de baseball (E.-U.);TDTR;Baseball cards;JAL, AM, MT, TD;(inconnues en France…);
battels (R.-U.);TDTR;Battels;JAL, AM, MT, TD;toujours au pluriel (R.U.);
abécédaire (2);TDTR;Battledores;JAL, AM, MT, TD;;
plan de bataille;TDTR;Battlefield maps;JAL, AM, MT, TD;;
obligation au porteur;(Kettridge 1973);bearer bond (debenture);;;AM
titre au porteur;TDTR;Bearer bonds;JAL, AM, MT, TD;;
chèque au porteur;(Kettridge 1973);bearer cheque;;;AM
étiquette de bière;;beer label;;;AM
sous-bock (1);TDTR;Beermats;JAL, AM, MT, TD;;
beetle drive cards (R.-U.);TDTR;Beetle drive cards;JAL, AM, MT, TD;;
'bellman''s verse (R.-U.)';TDTR;'Bellmen''s verses';JAL, AM, MT, TD;;
ticket d’entrée (bienfaisance);TDTR;Benefit tickets;JAL, AM, MT, TD;;
patron de broderie de Berlin;TDTR;Berlin patterns;JAL, AM, MT, TD;;
ticket de pari (1);TDTR;Betting slip;JAL, AM, MT, TD;;
ticket de pari (2);TDTR;Betting tickets;JAL, AM, MT, TD;;
image pieuse (1);TDTR;Bible cards;JAL, AM, MT, TD;renvoi: sulpicienne;
traite;;bill;;;
note (1);(F);bill (hotel, restaurant, etc);;;MT
'livre d''effets, journal d''effets';(Kettridge 1973);bill book;;;AM
'échéancier, carnet d''échéances';(Kettridge 1973);bill diary;;;AM
'formule d''effet de commerce';(Kettridge 1973);bill form;;;AM
tête de letter ;(Gascoigne 1998:20a);bill heading;;;AM
effet en devise;(Kettridge 1973);bill in currency;;;AM
déclaration de détail;(Kettridge 1973);bill of entry;;;AM
police de caractères;;bill of fount, bill of type;;;
billet au porteur, effet au porteur;(Kettridge 1973);bill payable to bearer;;;AM
en-tête de facture;TDTR (Imp par image IV:2);Billheads;JAL, AM, MT, TD;;AM
lettre de change;TDTR (CC 66, 7, B, F 1716) (Kettridge 1973);Bills of exchange (1);JAL, AM, MT, TD;'(Scope note) Un effet par lequel une personne ordonne à une autre personne de payer à une troisième une certaine somme à une échéance déterminée. Ecrite sur papier timbré (hist.) [BT Effets de commerce; RT Billet à ordre; Mandat] Renvoi: en-tëte commericale. ';
billet de change, effet (de commerce);(F 1716);bills of exchange (2);;;MT
lettre de voiture, connaissement, formule de connaissement;TDTR (CC18/13/16 p.54) JAL;Bills of lading;;query. renvoi: bon de charge;
bill of mortality (R.-U.);TDTR;Bills of mortality;JAL, AM, MT, TD;;
titre de propriété (1);TDTR;Bills of sale;JAL, AM, MT, TD;;
papier à échéance;(Kettridge 1973);bills to mature;;;AM
étiquette de relieur;TDTR (E&R);'Binders'' labels';JAL, AM, MT, TD;;
carton de loto (FR), carton de bingo (R.-U. / E.-U.);TDTR (CC 69, 36);Bingo cards;JAL, AM, MT, TD;(not in ET);MT
'vue à vol d''oiseau';TDTR;'Bird''s eye views';JAL, AM, MT, TD;;
faire-part de naissance;(Petit 1997:27);birth announcement;;'renvoi: extrait d''état civil';AM
'extrait d''acte de naissance';TDTR;Birth certificates;JAL, AM, MT, TD;;
acte de l’état civil ;(N);birth/mariage/death certificate;;;MT
carte d’anniversaire;TDTR (Afnor);Birthday cards;JAL, AM, MT, TD;;
enveloppe deuil;(Kettridge 1973);black-bordered envelope;;;AM
cache en papier noir ;;black-paper mount;;(not in ET); MT
livre en blanc;TDTR;Blank books (1);JAL, AM, MT, TD;See also cahier vièrge (Blank books (2) ;
cahier vièrge;;Blank books (2);JAL, AM, MT, TD;See Blank books.;
carte de vœux en blanc;TDTR;Blank greetings cards;JAL, AM, MT, TD;;
étiquette carte blanche;(S&A);blank label;;renvoi: menu passe-partout;
carton buvard;(Kettridge 1973);blotter, blotting case;;;AM
buvard;TDTR (Afnor);Blotters;JAL, AM, MT, TD;;
papier buvard;TDTR (Kettridge 1973) (CC18/13/16 p.54 JAL) ABMP;Blotting paper;JAL, AM, MT, TD;;
carte de jeux de société;TDTR;Board game cards;JAL, AM, MT, TD;;
monnaie factice pour jeux de société;TDTR;Board game money;JAL, AM, MT, TD;;
compteur, marqueur;(CC 50, 47);board game piece, counter ?;;cross-reference only. Not preferred;MT
pièce ou pion de jeu;TDTR;Board game pieces;JAL, AM, MT, TD;preferred term;
jeu de plateau;TDTR;Board games;JAL, AM, MT, TD;;
carte d’embarquement;TDTR;Boarding cards;JAL, AM, MT, TD;;
affichette publicitaire pour livre ou périodique;TDTR;Book and magazine posters;JAL, AM, MT, TD;;
prospectus de livre;TDTR;Book announcements;JAL, AM, MT, TD;but no distinction between prospectus and annonce? JAL;
fiche de livre;TDTR;Book cards;JAL, AM, MT, TD;renvoi: fiche de rappel:même chose;
;;book cloths;;;MT
ex-dono;TDTR;Book donor labels;JAL, AM, MT, TD;query: pas courant en France;
jaquette de livre;TDTR (Afnor);Book jackets;JAL, AM, MT, TD;;
étiquette de livre;TDTR;Book labels;JAL, AM, MT, TD;;
cahier de papier à cigarettes;(CC 56) ;book of cigarette papers;JAL, AM, MT, TD;(not in ET);MT
carnet de formulaires;(Kettridge 1973);book of forms;JAL, AM, MT, TD;;AM
carnet de timbres;(Kettridge 1973);book of stamps;JAL, AM, MT, TD;;AM
'indicateur d''horaires (indicateur Chaix)';;book of timetables;TD;query: équivalent français: Indicateur Chaix. See Bradshaw;AM
prospectus de livre ;TDTR;Book prospectuses;JAL, AM, MT, TD;changement du terme anglais prévu par MT ou il faut séparer les deux;
chèque-cadeau de livre;TDTR;Book tokens;JAL, AM, MT, TD;[hist] en anglais? Pas en français;
bookazine (R.-U.);TDTR;Bookazines;JAL, AM, MT, TD;Check with Matthieu, etc.;
livret;TDTR AM;Booklets;JAL, AM, MT, TD;Check TLF for variants.;
marque-page (1);TDTR (CC 14, 16);Bookmarks;JAL, AM, MT, TD;renvoi: Signet (en carton, moins générique);
ex-libris (1);TDTR , JGC p.ii (E&R, Petit 7RT2000) (Afnor);Bookplates;JAL, AM, MT, TD;;
livre;TDTR;Books;JAL, AM, MT, TD;;
'livret d''opéra';TDTR;Books of words;;'Query: pour JAL book of words = pantomime. Livret d''opéra = libretto. Renvoi: argument';
étiquette de libraire;TDTR (Petit 1997:20);'Booksellers'' labels';JAL, AM, MT, TD;JAL, MT query resolved: libraire NOT librairie;
bordure dorée;(N);border blank, gold;;;MT
document numérique;TDTR;Born digital items;JAL, AM, MT, TD;'pas d''éqivalent pour born digital ITEMS';
fiche d’emprunt de livres (1);TDTR ;'Borrowers'' cards';JAL, AM, MT, TD;;
sac à bouteille;TDTR;Bottle bags;JAL, AM, MT, TD;;
étiquette de bouteille;TDTR;Bottle labels;JAL, AM, MT, TD;;
boîte;TDTR;Boxes;JAL, AM, MT, TD;;
Bradshaw (R.-U.);TDTR;Bradshaws;JAL, AM, MT, TD;'mais voir indicateur d''horaires';
bon de pain;(CC 65, 50, 46, 40);bread token;JAL, AM, MT, TD;correction faite par TD. (hist.) (Not in ET) ;MT
bristol;(S&A);bristol board;JAL, AM, MT, TD;correction faite par TD;MT
feuille non découpée;TDTR;Broadsheets;JAL, AM, MT, TD;Find/check French term.;
placard;TDTR JGC p.xiv, 91;Broadsides;JAL, AM, MT, TD;;
dépliant [2. 4, … volets], brochure;(CC 72, 16);brochure [ 2, 4… folds]?;;??;MT
brochure;TDTR (CC18/13/16 p.54) JAL(CC 41, 113);Brochures;JAL, AM, MT, TD;;
bordereau de courtage;;broker’s note;;? English source? Need definition;AM
;TDTR;Bubblegum cards;JAL, AM, MT, TD;Related term image de chewing-gum.;
compte prévisionnel;TDTR;Budgets;JAL, AM, MT, TD;;
liasse (de papiers, lettres);(Kettridge 1973);bundle (of papers, letters);TD;;AM
guirlande pavillon;TDTR;Bunting;JAL, AM, MT, TD;on dit le 14 juillet que la rue est pavoisée. Renvois: pavois, draperie;
certificat d’inhumation;TDTR;Burial certificates;JAL, AM, MT, TD;;
;TDTR;Burial club cards;JAL, AM, MT, TD;Pas d’équivalent en français.;
;TDTR;Burial in wool affidavits;JAL, AM, MT, TD;(pas d’équivalent en français);
billet d’enterrement (hist);(N) JGC p.72;burial notice ;;pas dans le thesaurus de Reading JAL to research;MT
'permis d''inhumation';TDTR;Burial-right deeds;JAL, AM, MT, TD;;
'carte d''abonnement de transport';TDTR;Bus passes;JAL, AM, MT, TD;;
'ticket d''autobus';TLF;bus ticket;;;
ticket de bus;TDTR;Bus tickets;JAL, AM, MT, TD;;
horaire de bus;TDTR;Bus timetables;JAL, AM, MT, TD;'autobus s''emploie dans les villes, et car entre villes ou dans la campagne';
'carte d''adresse';(Kettridge 1973);business card;;carte-adresse TD A discuter!;AM
carte commerciale;TDTR;Business cards;JAL, AM, MT, TD;;
imprimé commercial;;business forms;TD;;AM
papeterie d’entreprise;TDTR;Business stationery;JAL, AM, MT, TD;;
permis de musicien ambulant;TDTR;'Buskers'' permits';JAL, AM, MT, TD;;
règlement;TDTR;By-laws;JAL, AM, MT, TD;change to règlement intérieur;
portrait photographique(rejected);TDTR;Cabinet photographs;JAL, TD;Large mounted photo 1880s. Ask André Jammes.;
cachet de la poste;;cachet, postal;JAL MT;TD?;AM
décoration de gâteaux;TDTR;Cake frills;;?? MT and TD to research;
papier calandré;(PL 1900);calandered paper;;MT to check. Lissé?? (Not in ET) ;MT
calendrier de la poste ;(37, 80);calendar (also under call-back literature);;'Pas d''équivalent anglais, but renvoi à calendrier';MT
bloc éphémérides;(PL 1936);calendar block;JAL, AM, MT, TD;(not in ET);MT
;TDTR JGC p.28;Calendar mounts;;'Pas d''équivalent français.';
calendrier;TDTR (Afnor) JGC p.230;Calendars;JAL, AM, MT, TD;changea de forme, définition;
;TDTR;Calendars of assizes;JAL, AM, MT, TD;No French equivalent found.;
'programme d''activités';TDTR;Calendars of events;JAL, AM, MT, TD;;
appel à dons;TDTR;Call-back literature;JAL, AM, MT, TD;Ask Barbara. pas d’équivalent en français;
carte de visite (1);JGC p.37 (ABMP, PC, N);calling card;TD;;AM
étiquette de camembert;(Petit 1997:13);camembert cheese label;JAL, AM, MT, TD;;AM
;TDTR;Cameo cards;JAL, AM, MT, TD;cartes camaieux/ses ne dit rien à TD. pas d’équivalent en français;
timbre sec;TDTR JAL JGC p.375;Cameos;;cartes gaufrées? MT to check. Check Elsevier, etc.;
tract;TDTR;Campaign leaflets;JAL, AM, MT, TD;As opposed to prospectus which is more commercial.;
affiche de propagande;TDTR JGC p.420;Campaign posters;JAL, AM, MT, TD;'?? Pas forcément electorale. Pas d''équivalent. Aussi affiche/affichette??';
étiquette de boîtes de conserve;TDTR;Can labels;JAL, AM, MT, TD;;(Rickards/Tywman)
protège-flamme;TDTR;Candle shields;JAL, AM, MT, TD;;
canivet (1);;canivet;;;MT
autocollant pour voiture;TDTR;Car stickers;JAL, AM, MT, TD;;
papier carbone;TDTR (S&A);Carbon paper;JAL, AM, MT, TD;;MT
jeu de cartes;TDTR;Card games;JAL, AM, MT, TD;;
carte bisautée or, coins rond;(PC);card with gilt bevelled edges and round corners;;?? Carte truquée or, coins ronds TD. (Not in ET) ;MT
boîte en carton ;(S&A);cardboard box;JAL, AM, MT, TD;correction faite par TD;MT
cartonnage;(S&A) JGC p.286;cardboard boxes;;?? 3 définitions: boite en carton, ensemble de tout ce qui est converture cartonnée et gaufrée, carton de loto TD;MT
carte;TDTR;Cards (1);;Add qualifier to scope note mentioning size overlap with carton.;
carton;;Cards (2);;Not in ET. Scope note with mention of size overlap with "carte".;
caricature;TDTR JJC JGC p.196;Caricatures;JAL, AM, MT, TD;;
feuillet de chants de Noël;TDTR;Carol sheets;JAL, AM, MT, TD;correction faite par TD;
'livre d''échantillons de papier peint ou de moquette';;carpet (wallpaper) specimen book;JAL, AM, TD;correction faite par TD. Aussi échantillonier? ;AM
sac de commission, de courses;;carrier bag;;correction faite par TD;AM
sac publicitaire;TDTR (Afnor);Carrier bags;JAL, AM, MT, TD;??;
lettre de voiture;(TL, N, PL 1839) MT;carrier’s charge;;'(Scope note) Un écrit qui sert de contrat entre l’éxpéditeur et le voiturier: il prend le nom de connaissement quand le transport se fait par eau. [BT Effets de commerce; RT: connaissement].';MT
;TDTR;'Carriers'' addresses (hist)';JAL, AM, MT, TD;(pas d’équivalent en français);
;TDTR;'Carriers'' bills (hist)';JAL, AM, MT, TD;(pas d’équivalent en français);
carte pneumatique;TDTR AM;Cartes pneumatiques;JAL, AM, MT, TD;;
carte porcelaine;TDTR (RT2000);Cartes porcelaine;JAL, AM, MT, TD;;
carte de visite photographique;TDTR;Cartes-de-visite;JAL, AM, MT, TD;correction faite par TD;
boîte en carton;TDTR;Cartons;JAL, AM, MT, TD;;
dessin humouristique;TDTR;Cartoons;JAL, AM, MT, TD;TD confirme que dessin est imprimé et générique;
cartouche;TDTR (Afnor);Cartouches;JAL, AM, MT, TD;;
étui;(Coulisses);case;TD;;AM
livre de caisse;(Kettridge 1973);cash book;TD;;AM
journal de caisse;(Kettridge 1973);cash journal;TD;;AM
état de caisse, bordereau de caisse;(Kettridge 1973);cash statement;TD;;AM
;TDTR;Cast lists;JAL, AM, MT, TD;No equivalent found in French.;
liste de disparus et blessés;TDTR;Casualty lists;JAL, AM, MT, TD;;
catalogue;TDTR (Kettridge 1973);Catalogues;JAL, AM, MT, TD;;
menu de traiteur;TDTR;'Caterers'' menus';JAL, AM, MT, TD;;
couvre CD;TDTR;CD covers;JAL, AM, MT, TD;Only cover for single CD, not insert;
livre de cave;TDTR;Cellar books;JAL, AM, MT, TD;;
;TDTR;Cemetery cards;JAL, AM, MT, TD;No equivalent found in French.;
plan de cimetière;TDTR;Cemetery plans;JAL, AM, MT, TD;;
cachet de censure;TDTR;'Censors'' labels';JAL, AM, MT, TD;;
formulaire de recensement;TDTR;Census forms;JAL, AM, MT, TD;;
documents de recensement;;census papers;JAL, AM, TD;correction faite par TD;AM
hommage;TDTR;Ceremonial addresses;JAL, AM, MT, TD;(pas trouvé mieux…) TD;
brevet (hist);;certificat (1);;'sous l''ancien régime TD. A ajouter brevet d''intervention (which is current)';AM
certificat (1);AM (Afnor);certificate (2);;;
cahier de certificats;(Kettridge 1973);certificate book;;;AM
déclaration de versement;(Kettridge 1973);certificate of issue;;;AM
'certificat d''origine';(Kettridge 1973);certificate of origin;;;AM
brevet de francisation;;certificate of registry;;;AM
'certificat d''embarquement';(Kettridge 1973);certificate of shipment;;;AM
certificat;TDTR;Certificates (1);JAL, AM, MT, TD;Synonyms but used in different circumstances TD. Keep both;
attestation;;Certificates (2);JAL, AM, MT, TD;certificat et attestation synonymes en français.;
certificat de navigabilité;;certificates of seaworthiness;JAL, TD;;am
'carte de changement d''adresse (2)';AM;change of address card;;prefer Avis de … (TD);
avis de changement d’adresse;TDTR;Change of address cards;JAL, AM, MT, TD;;
avis de changement de propriétaire;TDTR;Change of proprietor cards;;'Doesn''t convey sense of carte?';
;TDTR;Change packets;JAL, AM, MT, TD;Pas d’équivalent trouvé en français.;
;TDTR;Change pin-papers;JAL, AM, MT, TD;Pas d’équivalent trouvé en français.;
livret de colportage;TDTR;Chapbooks;JAL, AM, MT, TD;Renvoi: bibliothèque bleue;AM
chapelet;(PL 1920);chapelet;JAL, AM, MT, TD;?? A éliminer TD;MT
appel de dons;TDTR;Charity appeal materials;JAL, AM, MT, TD;Delete materials in English after importation.;
insigne de donateur;TDTR;Charity badges;TD;'Pin''s too specific TD';
;TDTR;Charity election cards;JAL, AM, MT;(correction faite par TD). pas d’équivalent en français;
ticket d’entrée de gala de charité;TDTR;Charity event tickets;JAL, AM, MT, TD;(correction faite par TD);
enveloppe pour don;TDTR;Charity gift envelopes;JAL, AM, MT, TD;;
;TDTR;Charity seals;JAL, AM, MT, TD;(pas d’équivalent en français);
liste de donateurs (1);TDTR;Charity subscription lists;;(correction faite par TD) Query.;
billet de charité;TDTR;Charity tickets;JAL, AM, MT, TD;;
statuts (1);TDTR;Charters;JAL, AM, MT, TD;;
tableau (1);TDTR;Charts;JAL, AM, MT;?? Précisions à apporter TD;
pense-bête;TDTR;Checklists;JAL, AM, MT;Thierry to decide. AM: pense bête, aide-mémoire.;
étiquette de fromage;(RT2000) (CC 7/12/07 p.18) JAL;cheese label;JAL, AM, TD;;AM
étiquette de pharmacie;;'chemist''s label';JAL, AM, TD;;AM
chéquier;(Kettridge 1973);Cheque book;JAL, AM, MT, TD;équivalents TD;AM
chèque;TDTR (PL);Cheques;JAL, AM, MT, TD;;
avis : enfant perdu/trouvé;TDTR;Child lost / found notices;JAL, AM, MT, ;(Hist.) Child will be deleted from Reading.;
jeu de cubes;(CC 26);children’s bricks, picture bricks;TD;(not in ET);MT
jeu d’enfant;TDTR;'Children''s games';JAL, AM, MT, TD;Jouet = toy;
attestation de ramonage;TDTR;Chimney sweep certificates;JAL, AM, MT, TD;Pas Hist en français;
boîte de chocolats;;chocolate box;JAL, AM, TD;;AM
légende?;TDTR;Chocolate box keys;JAL, TD;(pas d’équivalent trouvé en français);
chop papers (Brit./Am.);TDTR;Chop papers;;(hist.);
carte de Noël;TDTR (Afnor);Christmas cards;JAL, AM, MT, TD;;
décoration de Noël;TDTR;Christmas decorations;JAL, AM, MT, TD;;
;TDTR;Christmas round robins;JAL, TD;(pas d’équivalent en français);
chromo;TDTR (CC 52, 79) (Afnor);Chromos;JAL, AM, MT, TD;vulgaire ou Do not use;
